title,img,description
Albatross (Toroa),2017-10-20 10:24,21.0
Banded Dotterel (Tūturiwhatu),2017-10-20 10:24,16.0
Barn Owl,2017-10-20 10:24,36.0
Bar Tailed Godwit (Kuaka),2017-10-20 10:24,49.0
Bellbird (Korimako),2017-10-20 10:24,27.0
Bittern (Matuku),2017-10-20 10:24,25.0
Black Fronted Tern (Tarapirohe),2017-10-20 10:24,36.0
Black Robin,2017-10-20 10:24,5.0
Black Billed Gull (Tarāpuka),2017-10-20 10:24,12.0
Blue Duck (Whio),2017-10-20 10:24,11.0
Brown Teal (Pāteke),2017-10-20 10:24,50.0
Fairy Tern (Tara Iti),2017-10-20 10:24,26.0
Fantail (Piwakawaka),2017-10-20 10:24,7.0
Fernbird (Kotata),2017-10-20 10:24,48.0
Fiordland Crested Penguin (Tawaki),2017-10-20 10:24,29.0
Gannet (Takapu),2017-10-20 10:24,52.0
Grey Warbler (Riroriro),2017-10-20 10:24,30.0
Harrier (Kahu),2017-10-20 10:24,42.0
Hihi (Stitchbird),2017-10-20 10:24,4.0
Hutton's Shearwater ,2017-10-20 10:24,32.0
Kākā,2017-10-20 10:24,19.0
Kākāpō,2017-10-20 10:24,3.0
Kākāriki,2017-10-20 10:24,34.0
Kakī (Black Stilt),2017-10-20 10:24,13.0
Kārearea (New Zealand Falcon),2017-10-20 10:24,8.0
Kea,2017-10-20 10:24,1.0
Kererū,2017-10-20 10:24,2.0
Kingfisher (Kōtare),2017-10-20 10:24,23.0
Kiwi,2017-10-20 10:24,20.0
Kōkako,2017-10-20 10:24,6.0
Little Blue Penguin (Korora),2017-10-20 10:24,18.0
Mohua,2017-10-20 10:24,47.0
New Zealand Dotterel (Tuturiwhatu),2017-10-20 10:24,43.0
New Zealand Robin (Toutouwai),2017-10-20 10:24,22.0
Pūkeko,2017-10-20 10:24,40.0
Rifleman (Tītipounamu),2017-10-20 10:24,38.0
Rock Wren (Pīwauwau),2017-10-20 10:24,28.0
Rockhopper Penguin,2017-10-20 10:24,17.0
Royal Spoonbill (Kōtuku Ngutupapa),2017-10-20 10:24,35.0
Ruru (Morepork),2017-10-20 10:24,9.0
Saddleback (Tīeke),2017-10-20 10:24,24.0
Scaup (Pāpango),2017-10-20 10:24,54.0
Shag (Kawau),2017-10-20 10:24,50.0
Shining Cuckoo (Pīpīwharauroa),2017-10-20 10:24,55.0
Shore Plover (Tūturuatu),2017-10-20 10:24,41.0
Silvereye (Tauhou),2017-10-20 10:24,44.0
Takahē,2017-10-20 10:24,15.0
Tomtit (Miromiro),2017-10-20 10:24,39.0
Tūī,2017-10-20 10:24,10.0
Weka,2017-10-20 10:24,31.0
Westland Petrel (Tāiko),2017-10-20 10:24,52.0
White Faced Heron (Matuku Moana),2017-10-20 10:24,45.0
Whitehead (Pōpokatea),2017-10-20 10:24,46.0
Wrybill (Ngutuparore),2017-10-20 10:24,33.0
Yellow Eyed Penguin (Hoiho),2017-10-20 10:24,14.0